"","plot_id","mean","incidence_rate","mummi_rate","value","value.cvt","row_num","plot","rep","range_num","block"
"1","18DN0001",5.33333333333333,0.777777777777778,0.388888888888889,0,0,32,"TBBC3-016",1,44,1
"2","18DN0002",3.4,0.933333333333333,0.266666666666667,0,0,33,"TBBC3-087",1,44,1
"4","18DN0004",5.77777777777778,0.888888888888889,0.5,0,0,35,"TBBC3-021",1,44,1
"5","18DN0006",6,0.777777777777778,0.666666666666667,0,0,37,"TBBC3-062",1,44,1
"6","18DN0007",6.41176470588235,0.941176470588235,0.705882352941177,0,0,38,"TBBC3-020",1,44,1
"7","18DN0008",5.5625,1,0.5625,100,8,39,"TBBC3-004",1,44,1
"8","18DN0009",7.52941176470588,1,0.764705882352941,100,8,40,"TBBC3-006",1,44,1
"9","18DN0010",5.94736842105263,0.947368421052632,0.631578947368421,0,0,41,"TBBC3-036",1,44,1
"10","18DN0011",5.88235294117647,0.941176470588235,0.588235294117647,0,0,42,"TBBC3-066",1,44,1
"12","18DN0013",4.63157894736842,0.842105263157895,0.263157894736842,0,0,44,"TBBC3-019",1,44,1
"14","18DN0015",7.46666666666667,1,0.866666666666667,100,8,46,"TBBC3-046",1,44,1
"15","18DN0016",6.4375,0.9375,0.75,0,0,47,"TBBC3-083",1,44,2
"16","18DN0017",4,0.916666666666667,0.333333333333333,0,0,48,"TBBC3-028",1,44,2
"17","18DN0018",3.94444444444444,0.777777777777778,0.388888888888889,0,0,49,"TBBC3-026",1,44,2
"18","18DN0019",4.33333333333333,0.916666666666667,0.166666666666667,0,0,50,"TBBC3-078",1,44,2
"19","18DN0020",5.9,0.95,0.5,0,0,51,"TBBC3-041",1,44,2
"21","18DN0022",7.16666666666667,1,0.722222222222222,100,8,53,"TBBC3-053",1,44,2
"22","18DN0023",4.125,0.875,0.1875,0,0,54,"TBBC3-072",1,44,2
"23","18DN0024",7,0.947368421052632,0.789473684210526,0,0,55,"TBBC3-061",1,44,2
"25","18DN0026",3.10526315789474,0.789473684210526,0.157894736842105,0,0,57,"TBBC3-025",1,44,2
"26","18DN0027",5.8,0.9,0.6,0,0,58,"TBBC3-089",1,44,2
"27","18DN0028",4.89473684210526,0.894736842105263,0.421052631578947,0,0,59,"TBBC3-085",1,44,2
"29","18DN0031",5.92857142857143,1,0.642857142857143,100,8,62,"TBBC3-009",1,44,3
"30","18DN0032",7.11111111111111,1,0.611111111111111,100,8,63,"TBBC3-076",1,44,3
"31","18DN0033",4.42105263157895,0.894736842105263,0.368421052631579,0,0,64,"TBBC3-022",1,44,3
"32","18DN0034",2.66666666666667,0.533333333333333,0.2,0,0,65,"TBBC3-080",1,44,3
"34","18DN0036",5.55,0.95,0.45,0,0,67,"TBBC3-055",1,44,3
"35","18DN0038",6.35294117647059,1,0.529411764705882,100,8,69,"TBBC3-057",1,44,3
"36","18DN0039",7.46666666666667,1,0.8,100,8,70,"TBBC3-015",1,44,3
"38","18DN0041",5.13333333333333,0.8,0.4,0,0,72,"TBBC3-073",1,44,3
"39","18DN0042",2.73333333333333,0.733333333333333,0.0666666666666667,0,0,73,"TBBC3-047",1,44,3
"40","18DN0043",5.82352941176471,1,0.352941176470588,100,8,74,"TBBC3-090",1,44,3
"42","18DN0045",6.26666666666667,0.933333333333333,0.533333333333333,0,0,76,"TBBC3-058",1,44,3
"44","18DN0047",6.92307692307692,1,0.692307692307692,100,8,77,"TBBC3-017",1,45,4
"45","18DN0048",6.75,0.9375,0.75,0,0,76,"TBBC3-088",1,45,4
"47","18DN0050",4.47058823529412,0.705882352941176,0.352941176470588,0,0,74,"TBBC3-077",1,45,4
"48","18DN0051",3.18181818181818,0.636363636363636,0.272727272727273,0,0,73,"TBBC3-003",1,45,4
"49","18DN0052",6.9375,0.9375,0.8125,0,0,72,"TBBC3-043",1,45,4
"50","18DN0053",3.8125,0.6875,0.3125,0,0,71,"TBBC3-052",1,45,4
"52","18DN0055",6,0.923076923076923,0.384615384615385,0,0,69,"TBBC3-071",1,45,4
"53","18DN0056",6,0.888888888888889,0.611111111111111,0,0,68,"TBBC3-049",1,45,4
"54","18DN0057",6,0.882352941176471,0.529411764705882,0,0,67,"TBBC3-013",1,45,4
"55","18DN0060",4.46153846153846,0.692307692307692,0.384615384615385,0,0,64,"TBBC3-074",1,45,4
"57","18DN0062",4.5,0.722222222222222,0.333333333333333,0,0,62,"TBBC3-033",1,45,5
"58","18DN0063",3.89473684210526,0.789473684210526,0.315789473684211,0,0,61,"TBBC3-012",1,45,5
"59","18DN0064",4.92857142857143,1,0.357142857142857,100,8,60,"TBBC3-067",1,45,5
"60","18DN0065",2.83333333333333,0.666666666666667,0.166666666666667,0,0,59,"TBBC3-079",1,45,5
"61","18DN0066",5.68421052631579,0.894736842105263,0.368421052631579,0,0,58,"TBBC3-008",1,45,5
"62","18DN0067",4,1,0.0666666666666667,100,8,57,"TBBC3-082",1,45,5
"64","18DN0069",5.28571428571429,0.928571428571429,0.428571428571429,0,0,55,"TBBC3-040",1,45,5
"66","18DN0072",4.64705882352941,0.941176470588235,0.294117647058824,0,0,52,"TBBC3-050",1,45,5
"67","18DN0073",1.5,0.444444444444444,0.0555555555555556,0,0,51,"TBBC3-018",1,45,5
"68","18DN0074",5.91666666666667,0.833333333333333,0.416666666666667,0,0,50,"TBBC3-002",1,45,5
"69","18DN0075",1.33333333333333,0.555555555555556,0,0,0,49,"TBBC3-010",1,45,5
"71","18DN0077",5,0.8125,0.3125,0,0,47,"TBBC3-051",1,45,6
"72","18DN0078",6.72222222222222,1,0.666666666666667,100,8,46,"TBBC3-075",1,45,6
"74","18DN0080",7.07692307692308,1,0.769230769230769,100,8,44,"TBBC3-069",1,45,6
"75","18DN0081",6.28571428571429,1,0.5,100,8,43,"TBBC3-086",1,45,6
"76","18DN0082",4.2,0.666666666666667,0.266666666666667,0,0,42,"TBBC3-060",1,45,6
"77","18DN0083",3.375,0.6875,0.125,0,0,41,"TBBC3-042",1,45,6
"78","18DN0084",6.63636363636364,0.909090909090909,0.636363636363636,0,0,40,"TBBC3-034",1,45,6
"79","18DN0085",6.07142857142857,0.857142857142857,0.5,0,0,39,"TBBC3-037",1,45,6
"80","18DN0086",6.1875,0.9375,0.625,0,0,38,"TBBC3-084",1,45,6
"81","18DN0087",5.38888888888889,0.888888888888889,0.555555555555556,0,0,37,"TBBC3-081",1,45,6
"82","18DN0088",4,0.642857142857143,0.285714285714286,0,0,36,"TBBC3-001",1,45,6
"84","18DN0091",0.533333333333333,0.2,0,0,0,33,"TBBC3-011",1,45,7
"85","18DN0092",1.42857142857143,0.285714285714286,0,0,0,32,"TBBC3-059",1,45,7
"86","18DN0093",5.6,0.933333333333333,0.533333333333333,0,0,31,"TBBC3-048",1,45,7
"88","18DN0095",5.88888888888889,1,0.5,100,8,29,"TBBC3-005",1,45,7
"90","18DN0097",4.15789473684211,0.684210526315789,0.210526315789474,0,0,27,"TBBC3-054",1,45,7
"91","18DN0098",1.5625,0.375,0.0625,0,0,26,"TBBC3-024",1,45,7
"92","18DN0100",1.26666666666667,0.533333333333333,0,0,0,24,"TBBC3-063",1,45,7
"93","18DN0101",4.15789473684211,0.736842105263158,0.263157894736842,0,0,23,"TBBC3-068",1,45,7
"94","18DN0102",5.78947368421053,0.842105263157895,0.421052631578947,0,0,22,"TBBC3-007",1,45,7
"96","18DN0104",4.78947368421053,0.736842105263158,0.421052631578947,0,0,20,"TBBC3-065",1,45,7
"97","18DN0105",5.63157894736842,0.894736842105263,0.526315789473684,0,0,19,"TBBC3-031",1,45,7
"98","18DN0106",5.45454545454545,0.818181818181818,0.545454545454545,0,0,18,"TBBC3-044",1,45,8
"100","18DN0108",6.2,0.933333333333333,0.533333333333333,0,0,16,"TBBC3-039",1,45,8
"101","18DN0109",6.90909090909091,1,0.727272727272727,100,8,15,"TBBC3-070",1,45,8
"102","18DN0110",3.77777777777778,0.666666666666667,0.333333333333333,0,0,14,"TBBC3-035",1,45,8
"103","18DN0111",5.58823529411765,0.823529411764706,0.470588235294118,0,0,13,"TBBC3-032",1,45,8
"104","18DN0112",4.1875,0.6875,0.4375,0,0,12,"TBBC3-029",1,45,8
"106","18DN0114",3.66666666666667,0.666666666666667,0.333333333333333,0,0,10,"TBBC3-027",1,45,8
"107","18DN0115",2.76470588235294,0.588235294117647,0.0588235294117647,0,0,9,"TBBC3-014",1,45,8
